sid,label,n_windows,max,mean,median,std,top1,top3_mean,top5_mean,frac_above_0.30,frac_above_0.35,frac_above_0.40
4679,1,261,0.40514275431632996,0.3828355697379715,0.38283640146255493,0.006169733044326763,0.40514275431632996,0.40491273005803424,0.40445902943611145,1.0,1.0,0.038314176245210725
49060,0,196,0.4054636061191559,0.3808896444281753,0.3764500617980957,0.007684617765049532,0.4054636061191559,0.40501485268274945,0.40400480628013613,1.0,1.0,0.05102040816326531
42855,0,196,0.4054636061191559,0.3808895416405736,0.3764500617980957,0.007665123645642799,0.4054636061191559,0.4048380454381307,0.40379530787467954,1.0,1.0,0.04591836734693878
9532,0,301,0.4053388833999634,0.38343677261343034,0.38283640146255493,0.006768050487594338,0.4053388833999634,0.4051988422870636,0.4047179102897644,1.0,1.0,0.03986710963455149
2193,0,297,0.4053388833999634,0.38338078623668914,0.38283640146255493,0.006569879354607189,0.4053388833999634,0.4051988422870636,0.4043999433517456,1.0,1.0,0.03367003367003367
44946,1,243,0.40546363592147827,0.3845419171170443,0.3784927725791931,0.009560960382995315,0.40546363592147827,0.40505266189575195,0.40472443103790284,1.0,1.0,0.08641975308641975
19948,1,303,0.43019819259643555,0.3856714457371841,0.38283640146255493,0.01380484877324905,0.43019819259643555,0.43019819259643555,0.43019819259643555,1.0,1.0,0.11551155115511551
16294,0,196,0.40448495745658875,0.3808887821375107,0.3764500617980957,0.007576645043979792,0.40448495745658875,0.40403661131858826,0.403244161605835,1.0,1.0,0.04591836734693878
25910,0,191,0.4259481430053711,0.38375524170111613,0.38283640146255493,0.009067120132462565,0.4259481430053711,0.41784437497456867,0.4137658715248108,1.0,1.0,0.09424083769633508
25134,0,196,0.4054636061191559,0.38087822131964627,0.3764500617980957,0.007658215564159453,0.4054636061191559,0.4049176474412282,0.4038864314556122,1.0,1.0,0.04591836734693878
22210,0,196,0.4054636061191559,0.38091357782179,0.3764500617980957,0.007704158406906629,0.4054636061191559,0.4049980143706004,0.4039734065532684,1.0,1.0,0.05102040816326531
24335,1,140,0.4036825895309448,0.38414052788700376,0.37813717126846313,0.009137294617341352,0.4036825895309448,0.40221447745958966,0.40071335434913635,1.0,1.0,0.02142857142857143
19816,0,6,0.3954842984676361,0.3805434654156367,0.3827935606241226,0.013435263731458877,0.3954842984676361,0.3924737771352132,0.3849059522151947,1.0,1.0,0.0
13657,0,97,0.39489129185676575,0.378502239578778,0.3764500617980957,0.005458397882927572,0.39489129185676575,0.39473098516464233,0.3941065907478333,1.0,1.0,0.0
